epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,483.738,1.74052,0.51556,0.96556,1.31074,0.000255683,0.000255683,0.000255683
2,944.617,1.2821,0.63889,0.97889,1.04995,0.000461326,0.000461326,0.000461326
3,1406.34,1.11644,0.68444,0.99111,0.90183,0.000616216,0.000616216,0.000616216
4,1905.26,1.02644,0.72889,0.99222,0.78017,0.000540607,0.000540607,0.000540607
5,2400.25,0.94456,0.69667,0.99111,0.80316,0.000464476,0.000464476,0.000464476
6,2900.99,0.88777,0.74667,0.99556,0.70099,0.000388345,0.000388345,0.000388345
7,3395.2,0.84268,0.76667,0.99556,0.63886,0.000312214,0.000312214,0.000312214
8,3894.39,0.79995,0.74111,0.99444,0.69738,0.000236083,0.000236083,0.000236083
9,4382.84,0.77248,0.76556,0.99556,0.61503,0.000159952,0.000159952,0.000159952
10,4866.61,0.74633,0.77,0.99556,0.5992,8.3821e-05,8.3821e-05,8.3821e-05
